New Privately Owned Housing Units Completed,,,,,,,,,,,,
,,,,,,,,,,,,
Annual Data,,,,,,,,,,,,
,,,,,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,,,,,
,,,,,,,,,,,,
,,In structures with--,,,Region,,,,,,,
Year,Total,1 unit,2 to 4,5 units,Northeast,,Midwest,,South,,West,
,,,units,or more,Total,1 unit,Total,1 unit,Total,1 unit,Total,1 unit
1968,"1,319.8",858.6,77.4,383.6,198.8,(NA),347.5,(NA),527.4,(NA),246.1,(NA)
1969,"1,399.0",807.5,79.8,512.1,219.8,(NA),344.7,(NA),553.1,(NA),281.4,(NA)
1970,"1,418.4",801.8,85.1,531.5,184.9,(NA),323.4,(NA),594.6,(NA),315.5,(NA)
1971,"1,706.1","1,014.0",106.1,586.1,225.8,(NA),348.1,(NA),727.0,(NA),405.2,(NA)
1972,"2,003.9","1,160.2",119.2,724.7,281.1,(NA),411.8,(NA),848.5,(NA),462.4,(NA)
1973,"2,100.5","1,197.2",123.5,779.8,294.0,(NA),441.7,(NA),906.3,(NA),458.6,(NA)
1974,"1,728.5",940.3,95.3,692.9,231.7,(NA),377.4,(NA),755.8,(NA),363.6,(NA)
1975,"1,317.2",874.8,60.4,381.8,185.8,(NA),313.2,(NA),531.3,(NA),286.8,(NA)
1976,"1,377.2","1,034.2",77.1,265.8,170.2,(NA),355.6,(NA),513.2,(NA),338.3,(NA)
1977,"1,657.1","1,258.4",94.9,303.7,176.8,(NA),400.0,(NA),636.1,(NA),444.2,(NA)
1978,"1,867.5","1,369.0",116.1,382.2,181.9,(NA),416.5,(NA),752.0,(NA),517.1,(NA)
1979,"1,870.8","1,301.0",124.9,444.9,188.4,135.2,414.7,293.8,761.7,534.9,506.0,337.1
1980,"1,501.6",956.7,118.8,426.3,146.0,99.8,273.5,169.6,696.1,454.6,386.0,232.8
1981,"1,265.7",818.5,111.4,335.7,127.3,86.9,217.7,139.8,626.4,408.4,294.3,183.3
1982,"1,005.5",631.5,80.7,293.1,120.5,79.0,143.0,92.2,538.8,339.5,203.2,120.7
1983,"1,390.3",923.7,92.0,374.4,138.9,106.1,200.8,141.6,746.0,475.9,304.6,200.2
1984,"1,652.2","1,025.1",112.2,514.8,168.2,128.6,221.1,155.8,866.6,508.2,396.4,232.5
1985,"1,703.3","1,072.5",97.2,533.6,213.8,167.8,230.5,151.3,812.2,514.0,446.8,239.4
1986,"1,756.4","1,120.2",86.1,550.1,254.0,193.1,269.8,170.0,763.8,504.5,468.8,252.6
1987,"1,668.8","1,122.8",71.4,474.6,257.4,195.8,302.3,201.3,660.4,467.2,448.7,258.5
1988,"1,529.8","1,084.6",56.6,388.6,250.2,187.7,280.3,191.3,594.8,457.0,404.6,248.4
